title,V1,V2
"The Argosy s21",1.87412803635191,4.67239890698672
"Cassell's Family Magazine 202",-3.74360883024777,-8.32990565844935
"Cassell's Magazine / Once A Week / St. Nicholas 417",9.98958828768389,5.01207774504545
"All The Year Round : conducted by Charles Dickens/ The Argosy 415",12.5173626102324,7.71959733629844
"The Badminton Magazine/ The Cornhill Magazine/ MacMillan's Magazine 364",-5.71556005507682,2.4670793785722
"The Strand Magazine 280",-7.95194603044874,2.36169308089639
"Harper's Monthly Magazine 380",-4.3094622155991,2.31488000164804
"Boys of Our Empire L130",-9.14049090807613,0.157731395274854
"Chums L42",2.04363694376564,-18.109624248449
"Harper's Monthly Magazine 382",-9.47706431895164,2.14320056075876
"The Casquet of Literature/ The Strand Magazine 308",1.17381721296958,2.6847619182296
"Chambers's Journal 219",1.08785931973642,-4.11853019862124
"Cassell's Family Magazine 293",5.75039556544949,3.69330545047202
"Chambers's Edinburgh Journal 379",19.7499050930078,3.03686958713672
"The Harmsworth Magazine 374",-0.464042993936436,-0.82528133090417
"The Argosy s20",-1.25004099499362,4.22674686959385
"Boy's Own Paper L13",-9.54480965244103,-0.9778866018176
"The Strand Magazine 281",5.78877013866905,0.146817639275117
"The Cornhill Magazine/ The Lady's-Realm/Once a Week/Pearson's Magazine/Scribner's Magazine/ The Wide World Magazine 410",6.9543042229286,6.33992791473066
"The Cornhill Magazine 187",-3.95195121744013,-1.96971292783364
"The Casquet of Literature 296",4.78848743981282,4.9678847218728
"Argosy s26",0.53678425313754,6.56092903193024
"The Casquet of Literature 297",-1.80451861717358,2.26076295866423
"The Arena 229",-3.28746577235492,0.0964503002369425
"The English Illustrated Magazine 305",-8.42860984127961,1.88772768171473
"The Windsor Magazine/Harper's Monthly Magazine 414",14.1536939094287,3.94388114112299
"Chambers's Journal 416",7.78671955939818,6.52956689704772
"The Strand Magazine 282",-1.87658130341654,-2.1515783972649
"The Argosy s28",-6.58244363568141,0.861463702334755
"American Astrology/The American Mercury/Argosy/Forum/The Harp/Recreation 275",1.98898606277243,4.04219540765257
"The English Illustrated Magazine 321",-0.794571585833334,5.91278294330048
"The Boy's Own Paper/The Scout L128",-8.67627847446419,-3.96316230149339
"The Argosy/131 Best Stories/20 Reader's Digest Books s150",6.66354754382897,5.88844070598297
"Argosy 128",-6.6570802454123,-5.77589915367851
"The Boy's Own Paper L17",-9.50027278928972,-0.641890299422789
"Cassell's Magazine 318",-4.73480545258404,1.75786014160022
"The English Illustrated Magazine 319",-3.14292850736255,2.99364965995563
"Author & Journalist/Blue Book/The Calgarian/Everybody's/Munsey's Magazine/Scribner's Commentator/Writer's Digest 288",-2.1621695798748,-0.230736392934107
"Harper's Monthly Magazine 413",-9.38413522037538,0.502745799109068
"The Arena 228",-5.89379701082863,2.15602028109804
"The Boys' Own Paper L21",-9.07828942467871,-0.441872627018831
"The Idler 361",-4.33736656803565,3.9991329629014
"The Idler 372",-4.39459620750385,4.63578045130414
"Pearson's Magazine 298",-1.55720878112701,2.8055559128951
"The Pall Mall Magazine 314",-4.00258876200657,3.96756067278626
"Chums L129",-9.9583390831764,-0.12692570102084
"The Pall Mall Magazine 315",0.392061168882377,-2.89382251926587
"The English Illustrated Magazine 320",-9.67380403044987,1.51598024069498
"Pearson's Magazine 350",5.18554161474903,-7.8342836613969
"Ex-Book 409",-9.67380403044987,1.51598024069498
"Household Words: Conducted by Charles Dickens 34A",17.09642676675,4.27720146685094
"Household Words: Conducted by Charles Dickens 336",16.9918374558441,-1.01134267528346
"Longman's/My Magazine/Popular Mechanics/Star/Storyteller/Street&Smith/Big-Book/Science/Mechanix/10-Story/Black Book 204",2.27818746671881,-19.6375209563868
"Once a Week/The English Illustrated Magazine/The National Geographic 304",12.5206570295122,2.58275834163871
"Macmillan's/Broadway/Idler/Plain Talk/Adventure Yarns/New World/Mystery Stories/Detective Novels/New Detective Magazine / Flight Stories / Speed Adventure Stories 193",-3.34925077434831,-9.04820772382734
"Harper's Magazine 225",12.6143544290095,-14.6180297316955
"The Windsor Magazine 407",10.4395622187148,1.10596347392939
"Household Words: Conducted by Charles Dickens 346",30.2415569556562,1.77631694416981
"Strand Magazine 210",2.69763533037879,-8.09955780528493
"The Idler S176",5.04826753115738,-1.38475131923359
"The Windsor Magazine 285",-9.3679582347532,0.57136181456708
"The Strand Magazine 279",15.2367725793955,-3.66771322941718
"Golden Book/ The Yale Review/ The Century Magazine/ Harper's Magazine 287",7.65545200883456,-3.01345871634719
"The Idler 292",6.64291881783971,-3.98495212044905
"Pearson's Magazine 317",3.1945347457763,-7.18591685595046
"The English Illustrated Magazine / Blackwood's Magazine / The London Magazine 322",6.59155067735827,-2.45665273503941
"Pearson's Magazine 299",-11.2601825838895,1.3335411025612
"The Windsor Magazine 286",-11.2601825838895,1.3335411025612
"Pearson's Magazine 300",-11.2601825838895,1.3335411025612
"The Strand Magazine 355",-7.50654892663133,-0.261531305295051
"The Strand Magazine 377",-11.2601825838895,1.3335411025612
"The Idler 367",-11.2601825838895,1.3335411025612
